ts,entry_time,symbol,lado,entry,stop,accion
2017-01-17 11:10:00-05:00,2017-01-17 11:10:00-05:00,NQ,long,5046.32,5031.98,"('abrir', 'MNQ', 8, 229, 5075.0)"
2017-01-18 03:00:00-05:00,2017-01-18 03:00:00-05:00,NQ,short,5052.49,5054.49,"('abrir', 'MNQ', 20, 80, 5048.5)"
2017-01-18 09:40:00-05:00,2017-01-18 09:40:00-05:00,NQ,short,5052.12,5054.12,"('abrir', 'MNQ', 20, 80, 5048.1)"
2017-01-18 10:05:00-05:00,2017-01-18 10:05:00-05:00,NQ,long,5052.26,5045.96,"('abrir', 'MNQ', 19, 239, 5064.8)"
2017-01-18 10:55:00-05:00,2017-01-18 10:55:00-05:00,NQ,short,5047.99,5052.65,"('abrir', 'MNQ', 20, 186, 5038.7)"
2017-01-19 03:20:00-05:00,2017-01-19 03:20:00-05:00,NQ,short,5055.07,5057.88,"('abrir', 'MNQ', 20, 112, 5049.5)"
2017-01-19 03:25:00-05:00,2017-01-19 03:25:00-05:00,NQ,short,5056.05,5058.27,"('skip', 'ya hay posición en MNQ')"
2017-01-19 11:10:00-05:00,2017-01-19 11:10:00-05:00,NQ,short,5053.95,5058.53,"('abrir', 'MNQ', 20, 183, 5044.8)"
2017-01-20 04:45:00-05:00,2017-01-20 04:45:00-05:00,NQ,short,5066.95,5068.95,"('abrir', 'MNQ', 20, 80, 5062.9)"
2017-01-20 11:00:00-05:00,2017-01-20 11:00:00-05:00,NQ,short,5067.86,5072.82,"('abrir', 'MNQ', 20, 198, 5058.0)"
2017-01-20 12:05:00-05:00,2017-01-20 12:05:00-05:00,NQ,long,5067.2,5064.78,"('skip', 'ya hay posición en MNQ')"
2017-01-23 03:35:00-05:00,2017-01-23 03:35:00-05:00,NQ,short,5045.18,5047.43,"('abrir', 'MNQ', 20, 90, 5040.7)"
2017-01-23 09:50:00-05:00,2017-01-23 09:50:00-05:00,NQ,long,5060.78,5052.07,"('abrir', 'MNQ', 14, 244, 5078.2)"
2017-01-23 12:15:00-05:00,2017-01-23 12:15:00-05:00,NQ,short,5046.47,5050.67,"('abrir', 'MNQ', 20, 168, 5038.1)"
2017-01-24 10:10:00-05:00,2017-01-24 10:10:00-05:00,NQ,short,5070.35,5072.91,"('abrir', 'MNQ', 20, 102, 5065.2)"
2017-01-24 10:25:00-05:00,2017-01-24 10:25:00-05:00,NQ,short,5077.28,5081.0,"('abrir', 'MNQ', 20, 149, 5069.8)"
2017-01-26 09:40:00-05:00,2017-01-26 09:40:00-05:00,NQ,long,5160.39,5157.33,"('abrir', 'MNQ', 20, 122, 5166.5)"
2017-01-26 10:35:00-05:00,2017-01-26 10:35:00-05:00,NQ,short,5156.5,5161.51,"('abrir', 'MNQ', 20, 200, 5146.5)"
2017-01-26 11:50:00-05:00,2017-01-26 11:50:00-05:00,NQ,long,5156.83,5151.52,"('skip', 'ya hay posición en MNQ')"
2017-01-27 11:30:00-05:00,2017-01-27 11:30:00-05:00,NQ,long,5161.81,5159.81,"('abrir', 'MNQ', 20, 80, 5165.8)"
2017-01-27 12:40:00-05:00,2017-01-27 12:40:00-05:00,NQ,long,5162.6,5158.83,"('abrir', 'MNQ', 20, 151, 5170.1)"
2017-02-01 10:30:00-05:00,2017-02-01 10:30:00-05:00,NQ,short,5144.52,5149.11,"('abrir', 'MNQ', 20, 183, 5135.4)"
2017-02-02 09:40:00-05:00,2017-02-02 09:40:00-05:00,NQ,short,5139.78,5143.97,"('abrir', 'MNQ', 20, 167, 5131.4)"
2017-02-02 12:25:00-05:00,2017-02-02 12:25:00-05:00,NQ,short,5141.4,5145.04,"('abrir', 'MNQ', 20, 146, 5134.1)"
2017-02-03 11:55:00-05:00,2017-02-03 11:55:00-05:00,NQ,short,5151.47,5153.47,"('abrir', 'MNQ', 20, 80, 5147.5)"
2017-02-03 12:20:00-05:00,2017-02-03 12:20:00-05:00,NQ,short,5155.31,5159.82,"('abrir', 'MNQ', 20, 180, 5146.3)"
2017-02-06 04:00:00-05:00,2017-02-06 04:00:00-05:00,NQ,short,5158.84,5160.84,"('abrir', 'MNQ', 20, 80, 5154.8)"
2017-02-06 10:10:00-05:00,2017-02-06 10:10:00-05:00,NQ,long,5152.33,5146.11,"('abrir', 'MNQ', 19, 236, 5164.8)"
2017-02-07 04:05:00-05:00,2017-02-07 04:05:00-05:00,NQ,long,5165.44,5160.11,"('abrir', 'MNQ', 20, 213, 5176.1)"
2017-02-08 03:15:00-05:00,2017-02-08 03:15:00-05:00,NQ,long,5188.89,5186.89,"('abrir', 'MNQ', 20, 80, 5192.9)"
2017-02-08 04:15:00-05:00,2017-02-08 04:15:00-05:00,NQ,short,5186.92,5188.92,"('abrir', 'MNQ', 20, 80, 5182.9)"
2017-02-08 05:25:00-05:00,2017-02-08 05:25:00-05:00,NQ,long,5188.09,5185.49,"('abrir', 'MNQ', 20, 104, 5193.3)"
2017-02-08 09:55:00-05:00,2017-02-08 09:55:00-05:00,NQ,short,5173.62,5176.43,FRENO_DIARIO
2017-02-09 05:55:00-05:00,2017-02-09 05:55:00-05:00,NQ,short,5195.13,5197.13,"('abrir', 'MNQ', 20, 80, 5191.1)"
2017-02-10 04:50:00-05:00,2017-02-10 04:50:00-05:00,NQ,short,5221.91,5226.59,"('abrir', 'MNQ', 20, 187, 5212.6)"
2017-02-10 10:55:00-05:00,2017-02-10 10:55:00-05:00,NQ,long,5222.36,5218.87,"('skip', 'ya hay posición en MNQ')"
2017-02-13 11:15:00-05:00,2017-02-13 11:15:00-05:00,NQ,short,5247.53,5251.43,"('abrir', 'MNQ', 20, 156, 5239.7)"
2017-02-14 03:25:00-05:00,2017-02-14 03:25:00-05:00,NQ,short,5252.5,5254.93,"('abrir', 'MNQ', 20, 97, 5247.6)"
2017-02-14 10:50:00-05:00,2017-02-14 10:50:00-05:00,NQ,short,5247.01,5255.26,"('abrir', 'MNQ', 14, 231, 5230.5)"
2017-02-15 10:05:00-05:00,2017-02-15 10:05:00-05:00,NQ,long,5271.7,5267.11,"('abrir', 'MNQ', 20, 184, 5280.9)"
2017-02-16 02:55:00-05:00,2017-02-16 02:55:00-05:00,NQ,long,5307.84,5305.84,"('abrir', 'MNQ', 20, 80, 5311.8)"
2017-02-16 04:05:00-05:00,2017-02-16 04:05:00-05:00,NQ,short,5307.87,5309.87,"('skip', 'ya hay posición en MNQ')"
2017-02-16 09:45:00-05:00,2017-02-16 09:45:00-05:00,NQ,long,5306.91,5300.57,"('abrir', 'MNQ', 19, 241, 5319.6)"
2017-02-16 10:10:00-05:00,2017-02-16 10:10:00-05:00,NQ,short,5304.82,5306.95,"('abrir', 'MNQ', 20, 85, 5300.6)"
2017-02-17 10:25:00-05:00,2017-02-17 10:25:00-05:00,NQ,long,5306.22,5302.06,"('abrir', 'MNQ', 20, 166, 5314.5)"
2017-02-17 11:30:00-05:00,2017-02-17 11:30:00-05:00,NQ,short,5300.06,5302.06,"('abrir', 'MNQ', 20, 80, 5296.1)"
2017-02-20 10:00:00-05:00,2017-02-20 10:00:00-05:00,NQ,short,5330.92,5333.87,"('abrir', 'MNQ', 20, 118, 5325.0)"
2017-02-21 10:00:00-05:00,2017-02-21 10:00:00-05:00,NQ,long,5339.91,5336.63,"('abrir', 'MNQ', 20, 131, 5346.5)"
2017-02-22 10:00:00-05:00,2017-02-22 10:00:00-05:00,NQ,short,5340.0,5347.78,"('abrir', 'MNQ', 15, 233, 5324.4)"
2017-02-22 11:00:00-05:00,2017-02-22 11:00:00-05:00,NQ,long,5342.94,5339.1,"('abrir', 'MNQ', 20, 154, 5350.6)"
2017-02-23 04:35:00-05:00,2017-02-23 04:35:00-05:00,NQ,long,5351.3,5347.2,"('abrir', 'MNQ', 20, 164, 5359.5)"
2017-02-24 03:25:00-05:00,2017-02-24 03:25:00-05:00,NQ,short,5320.35,5323.13,"('abrir', 'MNQ', 20, 111, 5314.8)"
2017-02-24 04:55:00-05:00,2017-02-24 04:55:00-05:00,NQ,long,5320.81,5317.56,"('skip', 'ya hay posición en MNQ')"
2017-02-24 10:05:00-05:00,2017-02-24 10:05:00-05:00,NQ,long,5315.31,5310.73,"('abrir', 'MNQ', 20, 184, 5324.5)"
2017-02-24 10:10:00-05:00,2017-02-24 10:10:00-05:00,NQ,long,5310.02,5304.97,"('abrir', 'MNQ', 20, 202, 5320.1)"
2017-02-27 09:50:00-05:00,2017-02-27 09:50:00-05:00,NQ,short,5329.03,5331.03,"('abrir', 'MNQ', 20, 80, 5325.0)"
2017-02-28 03:20:00-05:00,2017-02-28 03:15:00-05:00,NQ,short,5342.23,5344.26,"('abrir', 'MNQ', 20, 81, 5338.2)"
2017-02-28 10:00:00-05:00,2017-02-28 10:00:00-05:00,NQ,short,5341.72,5343.72,"('abrir', 'MNQ', 20, 80, 5337.7)"
2017-02-28 10:55:00-05:00,2017-02-28 10:55:00-05:00,NQ,short,5340.47,5342.73,"('abrir', 'MNQ', 20, 91, 5335.9)"
2017-03-01 02:35:00-05:00,2017-03-01 02:35:00-05:00,NQ,long,5339.44,5337.44,"('abrir', 'MNQ', 20, 80, 5343.4)"
2017-03-02 02:35:00-05:00,2017-03-02 02:35:00-05:00,NQ,short,5382.72,5384.72,"('abrir', 'MNQ', 20, 80, 5378.7)"
2017-03-02 04:20:00-05:00,2017-03-02 04:20:00-05:00,NQ,short,5382.3,5386.89,"('abrir', 'MNQ', 20, 184, 5373.1)"
2017-03-03 05:00:00-05:00,2017-03-03 05:00:00-05:00,NQ,short,5348.52,5351.89,"('abrir', 'MNQ', 20, 135, 5341.8)"
2017-03-03 10:50:00-05:00,2017-03-03 10:50:00-05:00,NQ,short,5351.65,5355.56,"('abrir', 'MNQ', 20, 156, 5343.8)"
2017-03-06 09:50:00-05:00,2017-03-06 09:50:00-05:00,NQ,short,5348.02,5353.11,"('abrir', 'MNQ', 20, 204, 5337.8)"
2017-03-06 11:25:00-05:00,2017-03-06 11:25:00-05:00,NQ,long,5344.46,5340.57,"('skip', 'ya hay posición en MNQ')"
2017-03-06 11:40:00-05:00,2017-03-06 11:40:00-05:00,NQ,long,5341.86,5337.64,"('skip', 'ya hay posición en MNQ')"
2017-03-07 04:40:00-05:00,2017-03-07 04:40:00-05:00,NQ,short,5355.64,5359.08,"('abrir', 'MNQ', 20, 138, 5348.8)"
2017-03-07 09:45:00-05:00,2017-03-07 09:45:00-05:00,NQ,short,5348.37,5356.26,"('abrir', 'MNQ', 15, 237, 5332.6)"
2017-03-08 11:55:00-05:00,2017-03-08 11:55:00-05:00,NQ,short,5358.89,5361.8,"('abrir', 'MNQ', 20, 116, 5353.1)"
2017-03-08 12:30:00-05:00,2017-03-08 12:30:00-05:00,NQ,short,5361.69,5367.35,"('abrir', 'MNQ', 20, 226, 5350.4)"
2017-03-09 09:40:00-05:00,2017-03-09 09:40:00-05:00,NQ,short,5354.56,5358.79,"('abrir', 'MNQ', 20, 169, 5346.1)"
2017-03-09 12:40:00-05:00,2017-03-09 12:40:00-05:00,NQ,short,5363.35,5368.17,"('abrir', 'MNQ', 20, 193, 5353.7)"
2017-03-10 10:30:00-05:00,2017-03-10 10:30:00-05:00,NQ,long,5385.71,5381.17,"('abrir', 'MNQ', 20, 182, 5394.8)"
2017-03-10 11:30:00-05:00,2017-03-10 11:30:00-05:00,NQ,long,5382.76,5374.57,"('abrir', 'MNQ', 14, 229, 5399.1)"
2017-03-13 04:45:00-04:00,2017-03-13 04:45:00-04:00,NQ,long,5380.83,5378.67,"('abrir', 'MNQ', 20, 87, 5385.2)"
2017-03-13 05:00:00-04:00,2017-03-13 05:00:00-04:00,NQ,long,5379.66,5376.97,"('skip', 'ya hay posición en MNQ')"
2017-03-13 11:20:00-04:00,2017-03-13 11:20:00-04:00,NQ,long,5386.16,5379.89,"('abrir', 'MNQ', 18, 226, 5398.7)"
2017-03-14 12:05:00-04:00,2017-03-14 12:05:00-04:00,NQ,long,5374.58,5372.58,"('abrir', 'MNQ', 20, 80, 5378.6)"
2017-03-14 12:10:00-04:00,2017-03-14 12:10:00-04:00,NQ,long,5367.46,5364.65,"('abrir', 'MNQ', 20, 113, 5373.1)"
2017-03-15 04:00:00-04:00,2017-03-15 04:00:00-04:00,NQ,short,5388.87,5390.87,"('abrir', 'MNQ', 20, 80, 5384.9)"
2017-03-15 09:45:00-04:00,2017-03-15 09:45:00-04:00,NQ,short,5384.77,5388.81,"('abrir', 'MNQ', 20, 162, 5376.7)"
2017-03-20 04:50:00-04:00,2017-03-20 04:50:00-04:00,NQ,long,5403.32,5401.32,"('abrir', 'MNQ', 20, 80, 5407.3)"
2017-03-20 11:45:00-04:00,2017-03-20 11:45:00-04:00,NQ,short,5418.17,5420.17,"('abrir', 'MNQ', 20, 80, 5414.2)"
2017-03-22 03:55:00-04:00,2017-03-22 03:55:00-04:00,NQ,long,5325.12,5323.12,"('abrir', 'MNQ', 20, 80, 5329.1)"
2017-03-22 04:30:00-04:00,2017-03-22 04:30:00-04:00,NQ,long,5325.75,5319.97,"('abrir', 'MNQ', 20, 231, 5337.3)"
2017-03-22 04:50:00-04:00,2017-03-22 04:50:00-04:00,NQ,short,5322.89,5324.89,"('skip', 'ya hay posición en MNQ')"
2017-03-22 09:55:00-04:00,2017-03-22 09:55:00-04:00,NQ,long,5338.17,5330.87,"('abrir', 'MNQ', 16, 234, 5352.8)"
2017-03-22 12:10:00-04:00,2017-03-22 12:10:00-04:00,NQ,long,5357.63,5349.07,FRENO_DIARIO
2017-03-23 03:00:00-04:00,2017-03-23 03:00:00-04:00,NQ,short,5367.27,5369.47,"('abrir', 'MNQ', 20, 88, 5362.9)"
2017-03-24 03:50:00-04:00,2017-03-24 03:50:00-04:00,NQ,short,5365.86,5369.31,"('abrir', 'MNQ', 20, 138, 5358.9)"
2017-03-24 12:25:00-04:00,2017-03-24 12:25:00-04:00,NQ,short,5386.91,5390.3,"('abrir', 'MNQ', 20, 136, 5380.1)"
2017-03-27 11:50:00-04:00,2017-03-27 11:50:00-04:00,NQ,long,5361.77,5358.97,"('abrir', 'MNQ', 20, 112, 5367.4)"
2017-03-28 09:45:00-04:00,2017-03-28 09:45:00-04:00,NQ,long,5375.87,5367.87,"('abrir', 'MNQ', 14, 224, 5391.9)"
2017-03-28 10:40:00-04:00,2017-03-28 10:40:00-04:00,NQ,short,5371.67,5373.67,"('abrir', 'MNQ', 20, 80, 5367.7)"
2017-03-29 04:00:00-04:00,2017-03-29 04:00:00-04:00,NQ,long,5413.17,5409.57,"('abrir', 'MNQ', 20, 144, 5420.4)"
2017-03-29 11:55:00-04:00,2017-03-29 11:55:00-04:00,NQ,short,5413.97,5418.57,"('abrir', 'MNQ', 20, 184, 5404.8)"
2017-03-30 12:05:00-04:00,2017-03-30 12:05:00-04:00,NQ,short,5433.62,5436.87,"('abrir', 'MNQ', 20, 130, 5427.1)"
2017-03-31 03:50:00-04:00,2017-03-31 03:50:00-04:00,NQ,long,5425.22,5423.22,"('abrir', 'MNQ', 20, 80, 5429.2)"
2017-04-03 05:05:00-04:00,2017-04-03 05:05:00-04:00,NQ,long,5441.92,5438.67,"('abrir', 'MNQ', 20, 130, 5448.4)"
2017-04-03 09:55:00-04:00,2017-04-03 09:55:00-04:00,NQ,long,5444.17,5436.97,"('abrir', 'MNQ', 16, 230, 5458.6)"
2017-04-03 10:45:00-04:00,2017-04-03 10:45:00-04:00,NQ,short,5440.27,5450.57,"('abrir', 'MNQ', 11, 227, 5419.7)"
2017-04-04 05:35:00-04:00,2017-04-04 05:35:00-04:00,NQ,short,5415.37,5419.57,"('abrir', 'MNQ', 20, 168, 5407.0)"
2017-04-04 12:10:00-04:00,2017-04-04 12:10:00-04:00,NQ,short,5428.12,5430.87,"('abrir', 'MNQ', 20, 110, 5422.6)"
2017-04-05 02:55:00-04:00,2017-04-05 02:55:00-04:00,NQ,short,5436.87,5439.37,"('abrir', 'MNQ', 20, 100, 5431.9)"
2017-04-05 03:45:00-04:00,2017-04-05 03:45:00-04:00,NQ,short,5436.97,5441.47,"('abrir', 'MNQ', 20, 180, 5428.0)"
2017-04-06 02:45:00-04:00,2017-04-06 02:45:00-04:00,NQ,long,5406.07,5404.07,"('abrir', 'MNQ', 20, 80, 5410.1)"
2017-04-06 04:25:00-04:00,2017-04-06 04:25:00-04:00,NQ,long,5406.22,5404.17,"('abrir', 'MNQ', 20, 82, 5410.3)"
2017-04-06 05:25:00-04:00,2017-04-06 05:25:00-04:00,NQ,long,5408.92,5404.87,"('abrir', 'MNQ', 20, 162, 5417.0)"
2017-04-06 09:50:00-04:00,2017-04-06 09:50:00-04:00,NQ,short,5420.27,5430.67,"('abrir', 'MNQ', 11, 229, 5399.5)"
2017-04-07 04:25:00-04:00,2017-04-07 04:25:00-04:00,NQ,long,5412.57,5408.07,"('abrir', 'MNQ', 20, 180, 5421.6)"
2017-04-07 10:10:00-04:00,2017-04-07 10:10:00-04:00,NQ,short,5412.52,5423.77,"('abrir', 'MNQ', 10, 225, 5390.0)"
2017-04-07 12:35:00-04:00,2017-04-07 12:35:00-04:00,NQ,long,5423.72,5411.57,"('abrir', 'MNQ', 9, 219, 5448.0)"
2017-04-10 04:30:00-04:00,2017-04-10 04:30:00-04:00,NQ,long,5424.07,5420.97,"('skip', 'ya hay posición en MNQ')"
2017-04-10 11:15:00-04:00,2017-04-10 11:15:00-04:00,NQ,short,5432.62,5437.77,"('skip', 'ya hay posición en MNQ')"
2017-04-10 12:00:00-04:00,2017-04-10 12:00:00-04:00,NQ,short,5418.97,5423.37,"('skip', 'ya hay posición en MNQ')"
2017-04-11 03:40:00-04:00,2017-04-11 03:40:00-04:00,NQ,long,5413.52,5409.97,"('abrir', 'MNQ', 20, 142, 5420.6)"
2017-04-12 03:40:00-04:00,2017-04-12 03:35:00-04:00,NQ,long,5408.72,5405.67,"('abrir', 'MNQ', 20, 122, 5414.8)"
2017-04-13 10:25:00-04:00,2017-04-13 10:25:00-04:00,NQ,long,5388.77,5384.67,"('abrir', 'MNQ', 20, 164, 5397.0)"
2017-04-17 03:45:00-04:00,2017-04-17 03:45:00-04:00,NQ,short,5357.47,5359.47,"('abrir', 'MNQ', 20, 80, 5353.5)"
2017-04-17 09:40:00-04:00,2017-04-17 09:40:00-04:00,NQ,long,5371.42,5365.57,"('abrir', 'MNQ', 20, 234, 5383.1)"
2017-04-17 12:20:00-04:00,2017-04-17 12:20:00-04:00,NQ,short,5384.62,5386.77,"('abrir', 'MNQ', 20, 86, 5380.3)"
2017-04-18 10:15:00-04:00,2017-04-18 10:15:00-04:00,NQ,long,5388.57,5382.87,"('abrir', 'MNQ', 20, 228, 5400.0)"
2017-04-18 11:05:00-04:00,2017-04-18 11:05:00-04:00,NQ,short,5389.17,5394.37,"('skip', 'ya hay posición en MNQ')"
2017-04-20 04:15:00-04:00,2017-04-20 04:15:00-04:00,NQ,long,5413.91,5410.15,"('abrir', 'MNQ', 20, 150, 5421.4)"
2017-04-20 10:05:00-04:00,2017-04-20 10:05:00-04:00,NQ,short,5422.02,5428.77,"('abrir', 'MNQ', 17, 230, 5408.5)"
2017-04-21 12:15:00-04:00,2017-04-21 12:15:00-04:00,NQ,long,5439.62,5434.57,"('abrir', 'MNQ', 20, 202, 5449.7)"
2017-04-24 10:05:00-04:00,2017-04-24 10:05:00-04:00,NQ,long,5503.97,5499.87,"('abrir', 'MNQ', 20, 164, 5512.2)"
2017-04-24 10:25:00-04:00,2017-04-24 10:25:00-04:00,NQ,long,5503.97,5498.07,"('skip', 'ya hay posición en MNQ')"
2017-04-24 12:10:00-04:00,2017-04-24 12:10:00-04:00,NQ,short,5500.97,5504.87,"('abrir', 'MNQ', 20, 156, 5493.2)"
2017-04-25 03:00:00-04:00,2017-04-25 03:00:00-04:00,NQ,long,5515.22,5513.22,"('abrir', 'MNQ', 20, 80, 5519.2)"
2017-04-26 03:00:00-04:00,2017-04-26 03:00:00-04:00,NQ,short,5552.12,5554.12,"('abrir', 'MNQ', 20, 80, 5548.1)"
2017-04-26 05:15:00-04:00,2017-04-26 05:15:00-04:00,NQ,long,5550.82,5548.77,"('abrir', 'MNQ', 20, 82, 5554.9)"
2017-04-26 09:40:00-04:00,2017-04-26 09:40:00-04:00,NQ,long,5552.87,5547.37,"('abrir', 'MNQ', 20, 220, 5563.9)"
2017-04-26 11:40:00-04:00,2017-04-26 11:40:00-04:00,NQ,long,5551.42,5545.67,"('abrir', 'MNQ', 20, 230, 5562.9)"
2017-04-26 12:10:00-04:00,2017-04-26 12:10:00-04:00,NQ,short,5551.07,5553.07,FRENO_DIARIO
2017-04-27 11:00:00-04:00,2017-04-27 11:00:00-04:00,NQ,short,5561.52,5566.27,"('abrir', 'MNQ', 20, 190, 5552.0)"
2017-04-27 11:50:00-04:00,2017-04-27 11:50:00-04:00,NQ,short,5559.12,5564.27,"('skip', 'ya hay posición en MNQ')"
2017-04-28 04:30:00-04:00,2017-04-28 04:30:00-04:00,NQ,long,5588.37,5585.97,"('abrir', 'MNQ', 20, 96, 5593.2)"
2017-04-28 12:05:00-04:00,2017-04-28 12:05:00-04:00,NQ,short,5582.52,5585.77,"('abrir', 'MNQ', 20, 130, 5576.0)"
2017-05-01 04:50:00-04:00,2017-05-01 04:50:00-04:00,NQ,long,5593.22,5591.22,"('abrir', 'MNQ', 20, 80, 5597.2)"
2017-05-01 12:15:00-04:00,2017-05-01 12:15:00-04:00,NQ,long,5619.72,5615.37,"('abrir', 'MNQ', 20, 174, 5628.4)"
2017-05-03 04:55:00-04:00,2017-05-03 04:55:00-04:00,NQ,long,5622.82,5620.82,"('abrir', 'MNQ', 20, 80, 5626.8)"
2017-05-04 03:15:00-04:00,2017-05-04 03:15:00-04:00,NQ,short,5619.82,5622.07,"('abrir', 'MNQ', 20, 90, 5615.3)"
2017-05-04 03:30:00-04:00,2017-05-04 03:30:00-04:00,NQ,short,5621.42,5623.57,"('abrir', 'MNQ', 20, 86, 5617.1)"
