ts,inst,lado,entrada,salida,motivo,R,usd,equity
2026-04-10 12:40:00-04:00,MNQ,short,25118.78,25076.69,target,1.965,420.87,50420.87
2026-04-13 04:35:00-04:00,MNQ,short,24953.08,24936.15,target,1.915,473.96,50894.83
2026-04-13 05:25:00-04:00,MNQ,short,24949.17,24958.57,stop,-1.0,-244.18,50650.65
2026-04-14 03:00:00-04:00,MNQ,long,25416.82,25438.94,target,1.934,486.54,51137.19
2026-04-14 11:20:00-04:00,MNQ,short,25631.44,25656.67,stop,-1.0,-252.31,50884.88
2026-04-15 04:00:00-04:00,MNQ,long,25827.54,25850.88,target,1.937,466.71,51351.59
2026-04-15 13:40:00-04:00,MNQ,short,26048.01,26044.26,target,1.665,149.82,51501.41
2026-04-16 04:00:00-04:00,MNQ,short,26312.73,26288.69,target,1.94,480.89,51982.3
2026-04-16 10:40:00-04:00,MNQ,short,26183.61,26222.96,stop,-1.0,-236.09,51746.21
2026-04-16 11:00:00-04:00,MNQ,long,26231.91,26248.93,target,1.916,476.49,52222.7
2026-04-17 04:25:00-04:00,MNQ,long,26314.28,26346.22,target,1.954,511.02,52733.72
2026-04-17 12:30:00-04:00,MNQ,short,26683.12,26708.99,stop,-1.0,-258.75,52474.97
2026-04-20 02:55:00-04:00,MNQ,long,26498.08,26517.1,target,1.924,494.47,52969.44
2026-04-20 04:00:00-04:00,MNQ,long,26513.95,26490.53,stop,-1.0,-234.19,52735.24
2026-04-20 04:25:00-04:00,MNQ,short,26490.41,26516.7,stop,-1.0,-262.83,52472.41
2026-04-20 10:15:00-04:00,MNQ,long,26612.11,26577.81,stop,-1.0,-205.83,52266.59
2026-04-21 03:55:00-04:00,MNQ,short,26683.31,26662.98,target,1.929,487.88,52754.47
2026-04-21 05:55:00-04:00,MNQ,long,26663.92,26685.31,target,1.932,513.37,53267.84
2026-04-21 09:55:00-04:00,MNQ,short,26631.94,26672.59,stop,-1.0,-243.92,53023.93
2026-04-21 10:50:00-04:00,MNQ,long,26658.11,26655.86,stop,-1.0,-90.0,52933.93
